"No.","Time","Source","Destination","Protocol","Length","Info"
"74","5.855953","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"76","5.871052","142.250.206.106","10.194.39.28","UDP","69","443  >  63293 Len=27"
"113","8.739153","142.250.206.106","10.194.39.28","UDP","77","443  >  63293 Len=35"
"114","8.750730","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"116","8.953893","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"118","8.964232","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"122","9.170142","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"124","9.188136","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"126","9.403723","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"132","9.422088","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"134","9.622603","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"135","9.637864","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"140","9.838339","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"141","9.855587","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"147","10.070198","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"148","10.087283","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"152","10.491869","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"157","10.502323","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"164","11.101368","10.194.39.28","10.10.1.4","DNS","80","Standard query 0x9bc2 A accounts.youtube.com"
"167","11.147080","10.10.1.4","10.194.39.28","DNS","124","Standard query response 0x9bc2 A accounts.youtube.com CNAME www3.l.google.com A 142.250.207.206"
"168","11.148929","10.194.39.28","142.250.207.206","QUIC","1292","Initial, DCID=9467970f690adeb9, PKN: 1, CRYPTO"
"169","11.149046","10.194.39.28","142.250.207.206","QUIC","1292","Initial, DCID=9467970f690adeb9, PKN: 2, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO"
"171","11.158872","142.250.207.206","10.194.39.28","QUIC","82","Initial, SCID=f467970f690adeb9, PKN: 1, ACK"
"173","11.158872","142.250.207.206","10.194.39.28","QUIC","1292","Initial, SCID=f467970f690adeb9, PKN: 2, ACK, PADDING"
"174","11.158872","142.250.207.206","10.194.39.28","QUIC","1292","Initial, SCID=f467970f690adeb9, PKN: 3, CRYPTO, PADDING"
"175","11.158872","142.250.207.206","10.194.39.28","QUIC","1292","Initial, SCID=f467970f690adeb9, PKN: 4, CRYPTO, PADDING"
"177","11.159686","10.194.39.28","142.250.207.206","QUIC","1292","Initial, DCID=f467970f690adeb9, PKN: 3, ACK, PADDING"
"186","11.173749","10.194.39.28","142.250.207.206","QUIC","79","Handshake, DCID=f467970f690adeb9"
"187","11.204928","10.194.39.28","142.250.207.206","QUIC","79","Handshake, DCID=f467970f690adeb9"
"189","11.233133","142.250.207.206","10.194.39.28","QUIC","1292","Handshake, SCID=f467970f690adeb9"
"190","11.233133","142.250.207.206","10.194.39.28","QUIC","1292","Handshake, SCID=f467970f690adeb9"
"191","11.233133","142.250.207.206","10.194.39.28","QUIC","1292","Handshake, SCID=f467970f690adeb9"
"192","11.233133","142.250.207.206","10.194.39.28","QUIC","869","Protected Payload (KP0)"
"193","11.233133","142.250.207.206","10.194.39.28","QUIC","85","Handshake, SCID=f467970f690adeb9"
"197","11.233634","10.194.39.28","142.250.207.206","QUIC","81","Handshake, DCID=f467970f690adeb9"
"198","11.234907","10.194.39.28","142.250.207.206","QUIC","210","Protected Payload (KP0), DCID=f467970f690adeb9"
"200","11.236207","10.194.39.28","142.250.207.206","QUIC","1288","Protected Payload (KP0), DCID=f467970f690adeb9"
"201","11.236299","10.194.39.28","142.250.207.206","QUIC","929","Protected Payload (KP0), DCID=f467970f690adeb9"
"204","11.250009","142.250.207.206","10.194.39.28","QUIC","996","Protected Payload (KP0)"
"205","11.250009","142.250.207.206","10.194.39.28","QUIC","179","Protected Payload (KP0)"
"207","11.250009","142.250.207.206","10.194.39.28","QUIC","65","Protected Payload (KP0)"
"209","11.250390","10.194.39.28","142.250.207.206","QUIC","76","Protected Payload (KP0), DCID=f467970f690adeb9"
"210","11.250470","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"211","11.278599","142.250.207.206","10.194.39.28","QUIC","70","Protected Payload (KP0)"
"213","11.312321","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"214","11.312321","10.194.39.28","142.250.207.206","QUIC","74","Protected Payload (KP0), DCID=f467970f690adeb9"
"215","11.326065","142.250.207.206","10.194.39.28","QUIC","64","Protected Payload (KP0)"
"216","11.326065","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"217","11.326420","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"218","11.400203","142.250.207.206","10.194.39.28","QUIC","1288","Protected Payload (KP0)"
"219","11.400203","142.250.207.206","10.194.39.28","QUIC","380","Protected Payload (KP0)"
"220","11.400203","142.250.207.206","10.194.39.28","QUIC","76","Protected Payload (KP0)"
"221","11.400203","142.250.207.206","10.194.39.28","QUIC","90","Protected Payload (KP0)"
"222","11.400628","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"223","11.400813","10.194.39.28","142.250.207.206","QUIC","79","Protected Payload (KP0), DCID=f467970f690adeb9"
"224","11.400869","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"225","11.437869","10.194.39.28","142.250.207.206","QUIC","76","Protected Payload (KP0), DCID=f467970f690adeb9"
"226","11.445917","142.250.207.206","10.194.39.28","QUIC","66","Protected Payload (KP0)"
"227","11.445917","142.250.207.206","10.194.39.28","QUIC","64","Protected Payload (KP0)"
"228","11.446310","10.194.39.28","142.250.207.206","QUIC","75","Protected Payload (KP0), DCID=f467970f690adeb9"
"264","12.927595","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"265","12.944567","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"305","16.150205","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"309","16.213310","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"310","16.216019","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"311","16.240493","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"572","22.648457","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"574","22.663537","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"587","23.746344","142.250.206.106","10.194.39.28","UDP","183","443  >  63293 Len=141"
"588","23.752392","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"592","23.954970","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"595","23.987342","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"601","24.203923","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"602","24.234578","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"604","24.436443","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"605","24.444202","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"611","24.655053","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"612","24.674907","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"614","24.888214","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"615","24.914044","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"620","25.123635","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"622","25.140408","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"627","25.542646","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"629","25.559366","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"651","26.365051","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"652","26.372575","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"672","27.977750","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"673","27.984562","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"851","31.198681","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"852","31.217309","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"899","33.499178","10.194.39.28","10.10.1.4","DNS","78","Standard query 0xdfaa A presence.skype.com"
"909","33.553001","10.10.1.4","10.194.39.28","DNS","147","Standard query response 0xdfaa A presence.skype.com CNAME upsconsumer.presence.trafficmanager.net A 52.123.170.112"
"1002","37.622117","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1003","37.658242","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1317","50.473831","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1318","50.482705","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1375","53.738029","142.250.206.106","10.194.39.28","UDP","78","443  >  63293 Len=36"
"1376","53.738029","142.250.206.106","10.194.39.28","UDP","264","443  >  63293 Len=222"
"1377","53.740717","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"1378","53.743304","10.194.39.28","142.250.206.106","UDP","306","63293  >  443 Len=264"
"1379","53.759552","142.250.206.106","10.194.39.28","UDP","71","443  >  63293 Len=29"
"1380","53.769966","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"1382","53.974668","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1383","53.982642","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1385","54.019318","142.250.206.106","10.194.39.28","UDP","144","443  >  63293 Len=102"
"1386","54.021734","10.194.39.28","142.250.206.106","UDP","79","63293  >  443 Len=37"
"1387","54.030889","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1392","54.238394","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1393","54.248932","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1396","54.456285","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1397","54.464188","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1405","54.675489","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1406","54.685149","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1409","54.893100","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1410","54.901067","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1414","55.111208","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1415","55.119499","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1419","55.329852","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1421","55.354114","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1425","55.764586","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1427","55.826457","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1428","55.839820","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1429","55.875393","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"1447","56.686753","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1448","56.695251","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"1472","58.306675","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1473","58.313337","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"1644","61.519578","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1645","61.544512","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"1711","67.952309","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1712","67.975268","142.250.206.106","10.194.39.28","UDP","69","443  >  63293 Len=27"
"1722","68.743511","142.250.206.106","10.194.39.28","UDP","183","443  >  63293 Len=141"
"1723","68.746414","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"1725","68.949535","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1726","68.969977","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1727","69.181919","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1728","69.192206","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1731","69.399140","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1732","69.409577","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1734","69.615758","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1735","69.623784","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1741","69.834994","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1744","69.859187","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1746","70.068943","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1747","70.076105","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1753","70.486321","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1754","70.500413","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1760","71.311143","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1761","71.322907","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1779","72.933076","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1780","72.942227","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1824","76.149662","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1826","76.211146","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1827","76.225529","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"1829","76.304871","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1830","76.337982","142.250.206.106","10.194.39.28","UDP","68","443  >  63293 Len=26"
"1833","76.365805","142.250.206.106","10.194.39.28","UDP","70","443  >  63293 Len=28"
"1892","82.768490","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"1893","82.802921","142.250.206.106","10.194.39.28","UDP","70","443  >  63293 Len=28"
"2078","95.617204","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2079","95.635177","142.250.206.106","10.194.39.28","UDP","70","443  >  63293 Len=28"
"2109","98.774729","142.250.206.106","10.194.39.28","UDP","80","443  >  63293 Len=38"
"2110","98.790093","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"2115","98.989981","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2116","99.001215","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2118","99.208328","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2119","99.217588","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2120","99.426640","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2121","99.435434","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2124","99.646946","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2125","99.658087","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2134","99.864947","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2135","99.874780","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2138","100.082056","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2139","100.090612","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2142","100.505105","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2143","100.550020","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2151","101.360092","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2152","101.384981","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2171","102.992093","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2172","103.055761","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2215","106.264205","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2216","106.272260","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2293","112.674733","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2294","112.720171","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2306","113.779067","142.250.206.106","10.194.39.28","UDP","98","443  >  63293 Len=56"
"2307","113.779067","142.250.206.106","10.194.39.28","UDP","76","443  >  63293 Len=34"
"2308","113.779067","142.250.206.106","10.194.39.28","UDP","94","443  >  63293 Len=52"
"2309","113.781276","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"2313","113.790358","10.194.39.28","142.250.206.106","UDP","305","63293  >  443 Len=263"
"2314","113.817009","142.250.206.106","10.194.39.28","UDP","71","443  >  63293 Len=29"
"2315","113.829064","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"2321","114.030984","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2322","114.068116","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2323","114.068116","142.250.206.106","10.194.39.28","UDP","144","443  >  63293 Len=102"
"2324","114.069934","10.194.39.28","142.250.206.106","UDP","79","63293  >  443 Len=37"
"2333","114.107002","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2342","114.312685","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2343","114.329844","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2350","114.544875","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2351","114.589799","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2358","114.793570","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2360","114.861106","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2363","115.075681","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2365","115.171454","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2371","115.387590","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2372","115.395018","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2373","115.604861","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2374","115.618169","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2376","116.024990","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2377","116.045152","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2386","116.849542","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2387","116.883149","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2408","118.498243","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2409","118.509336","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2485","121.721244","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2486","121.733645","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2564","128.146250","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2565","128.159408","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2717","140.960347","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2718","140.967644","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2743","143.766435","142.250.206.106","10.194.39.28","UDP","77","443  >  63293 Len=35"
"2744","143.777751","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"2747","143.978583","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2748","144.000350","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2752","144.211197","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2753","144.228740","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2756","144.444109","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2757","144.451802","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2759","144.661586","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2760","144.672348","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2763","144.880879","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2764","144.889511","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2780","145.097605","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2782","145.114515","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2787","145.520949","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2788","145.532191","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2796","146.342671","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2797","146.387247","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2825","147.994854","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2826","148.030046","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2856","151.244894","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2857","151.259250","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2965","157.667147","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2966","157.674142","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2975","158.754879","142.250.206.106","10.194.39.28","UDP","183","443  >  63293 Len=141"
"2976","158.757370","10.194.39.28","142.250.206.106","UDP","75","63293  >  443 Len=33"
"2977","158.960532","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2978","158.975337","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2980","159.176283","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2981","159.183082","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2984","159.395102","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2985","159.406844","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
"2988","159.609949","10.194.39.28","142.250.206.106","UDP","71","63293  >  443 Len=29"
"2989","159.622541","142.250.206.106","10.194.39.28","UDP","67","443  >  63293 Len=25"
